"Issue Id","Issue Type","Summary","Description","Epic Name","Epic Link","Assignee","Priority","Story Points","Component","Status"
1,"Epic","Epic 1: System Architecture, Security & Admin Module","Xây dựng khung dự án Spring Boot 3, hệ thống xác thực phân quyền JWT/RBAC và API Quản trị hệ thống (Admin).","Epic 1: Security & Admin",,"Lê Duy Khánh","Highest",13,"Auth & Admin","Done"
2,"Epic","Epic 2: Job Management & Search Engine","Module quản lý tin tuyển dụng của Recruiter, bộ từ điển Category/Skill, công cụ tìm kiếm và lọc việc làm đa tiêu chí.","Epic 2: Job & Search",,"Trần Đình Tình","High",13,"Job & Search","To Do"
3,"Epic","Epic 3: Company Profile & ATS Recruitment Pipeline","Module quản lý hồ sơ doanh nghiệp và quy trình quản lý ứng viên ATS qua các vòng tuyển dụng (Kanban pipeline).","Epic 3: Company & ATS",,"Nguyễn Phan Minh Hiếu","High",13,"Company & ATS","To Do"
4,"Epic","Epic 4: Candidate Profile & Application Flow","Module hồ sơ ứng viên, tải lên và quản lý CV (PDF), nộp đơn ứng tuyển và lưu tin việc làm yêu thích.","Epic 4: Candidate & Application",,"Đặng Trường Thịnh","High",13,"Candidate & Application","To Do"
5,"Epic","Epic 5: Interview Scheduling, Email Service & Analytics","Module lên lịch phỏng vấn, gửi email tự động (Spring Mail), chuông thông báo in-app và dashboard thống kê báo cáo.","Epic 5: Interview & Analytics",,"Phan Thị Ánh Tuyền","High",13,"Interview & Analytics","To Do"
6,"Task","[Khánh] Khởi tạo Skeleton Spring Boot 3 & Clean Architecture","Thiết lập dự án Maven với Spring Boot 3.3.4, Java 21, cấu trúc Clean Architecture, BaseEntity, ApiResponse, PageResponse, Swagger OpenAPI v3 và GlobalExceptionHandler.",,"Epic 1: Security & Admin","Lê Duy Khánh","Highest",3,"Auth & Admin","Done"
7,"Task","[Khánh] Xây dựng Module Authentication & JWT Security","Thiết kế User, Role, UserRole; triển khai đăng ký, đăng nhập JWT, refresh token, BCrypt, SecurityConfig và CustomUserDetailsService.",,"Epic 1: Security & Admin","Lê Duy Khánh","Highest",5,"Auth & Admin","Done"
8,"Task","[Khánh] Xây dựng Module Quản trị viên (Admin Management APIs)","Triển khai API Admin: Khóa/Mở người dùng, duyệt doanh nghiệp (PENDING/APPROVED/REJECTED), kiểm duyệt tin tuyển dụng và thống kê tổng quan hệ thống.",,"Epic 1: Security & Admin","Lê Duy Khánh","High",5,"Auth & Admin","Done"
9,"Task","[Tình] Thiết kế Entity, Repository & DTO cho Job, Category, Skill","Tạo các entity JPA: Job, Category, Skill, JobSkill; tạo Repository tương ứng với các query cần thiết; viết DTO request/response chuẩn hóa.",,"Epic 2: Job & Search","Trần Đình Tình","High",3,"Job & Search","To Do"
10,"Story","[Tình] Xây dựng CRUD Tin tuyển dụng cho Nhà tuyển dụng","Là Nhà tuyển dụng, tôi muốn tạo mới, cập nhật, ẩn/hiện và đóng tin tuyển dụng để quản lý các vị trí đang tuyển của công ty. Acceptance Criteria: Validate dữ liệu đầu vào (lương min < max, hạn nộp hợp lệ), phân quyền chỉ Recruiter thuộc công ty mới được sửa tin.",,"Epic 2: Job & Search","Trần Đình Tình","High",5,"Job & Search","To Do"
11,"Story","[Tình] Xây dựng Bộ lọc & Tìm kiếm việc làm đa tiêu chí","Là Ứng viên / Khách, tôi muốn tìm kiếm việc làm theo từ khóa, ngành nghề, mức lương, địa điểm, cấp bậc và hình thức làm việc với phân trang PageResponse chuẩn RESTful.",,"Epic 2: Job & Search","Trần Đình Tình","High",5,"Job & Search","To Do"
12,"Task","[Tình] Tự động cập nhật tin quá hạn bằng Scheduled Task (Cron Job)","Xây dựng job nền @Scheduled chạy định kỳ hàng đêm lúc 00:00 quét các tin tuyển dụng có deadline < ngày hiện tại và trạng thái ACTIVE để cập nhật sang EXPIRED.",,"Epic 2: Job & Search","Trần Đình Tình","Medium",2,"Job & Search","To Do"
13,"Task","[Hiếu] Thiết kế Entity, Repository & DTO cho Company, Recruiter, ATS","Tạo các entity JPA: Company, Recruiter, ApplicationStage, ApplicationNote; tạo Repository và DTO tương ứng.",,"Epic 3: Company & ATS","Nguyễn Phan Minh Hiếu","High",3,"Company & ATS","To Do"
14,"Story","[Hiếu] Xây dựng API Quản lý Hồ sơ Doanh nghiệp (Company Profile)","Là Nhà tuyển dụng, tôi muốn cập nhật thông tin giới thiệu công ty, website, quy mô, địa chỉ và upload logo công ty để thu hút ứng viên.",,"Epic 3: Company & ATS","Nguyễn Phan Minh Hiếu","High",3,"Company & ATS","To Do"
15,"Story","[Hiếu] Xây dựng Quy trình quản lý ứng viên ATS qua các vòng (Kanban Pipeline)","Là Nhà tuyển dụng, tôi muốn kéo chuyển trạng thái ứng viên qua các vòng: APPLIED -> SCREENING -> INTERVIEW -> OFFER -> HIRED / REJECTED để quản lý tiến độ phỏng vấn.",,"Epic 3: Company & ATS","Nguyễn Phan Minh Hiếu","Highest",5,"Company & ATS","To Do"
16,"Story","[Hiếu] Xây dựng tính năng Đánh giá ứng viên & Ghi chú nội bộ HR","Là Nhà tuyển dụng, tôi muốn chấm điểm (1-5 sao) và viết ghi chú nội bộ (internal note) cho từng hồ sơ ứng viên để các thành viên trong ban tuyển dụng cùng đánh giá.",,"Epic 3: Company & ATS","Nguyễn Phan Minh Hiếu","Medium",2,"Company & ATS","To Do"
17,"Task","[Thịnh] Thiết kế Entity, Repository & DTO cho Candidate, Resume, Application","Tạo các entity JPA: Candidate, Resume, Application, SavedJob; tạo Repository và DTO tương ứng.",,"Epic 4: Candidate & Application","Đặng Trường Thịnh","High",3,"Candidate & Application","To Do"
18,"Story","[Thịnh] Xây dựng API Quản lý Thông tin cá nhân Ứng viên","Là Ứng viên, tôi muốn cập nhật thông tin nghề nghiệp, tiêu đề, năm kinh nghiệm, mức lương mong muốn và địa chỉ để nhà tuyển dụng dễ dàng tiếp cận.",,"Epic 4: Candidate & Application","Đặng Trường Thịnh","High",3,"Candidate & Application","To Do"
19,"Story","[Thịnh] Xây dựng tính năng Upload & Quản lý CV (PDF)","Là Ứng viên, tôi muốn tải lên các file CV định dạng PDF (tối đa 5MB), đặt CV làm mặc định hoặc xóa CV cũ. Hệ thống phải validate đuôi file và kích thước an toàn.",,"Epic 4: Candidate & Application","Đặng Trường Thịnh","High",5,"Candidate & Application","To Do"
20,"Story","[Thịnh] Xây dựng Luồng nộp đơn ứng tuyển (Chống nộp trùng lặp)","Là Ứng viên, tôi muốn nộp hồ sơ vào tin tuyển dụng kèm Cover Letter. Hệ thống phải kiểm tra UNIQUE (candidate_id, job_id) để ngăn nộp trùng lặp và lưu trạng thái ban đầu là APPLIED.",,"Epic 4: Candidate & Application","Đặng Trường Thịnh","Highest",5,"Candidate & Application","To Do"
21,"Story","[Thịnh] Xây dựng tính năng Lưu tin việc làm & Lịch sử đơn ứng tuyển","Là Ứng viên, tôi muốn lưu lại các công việc yêu thích để xem sau và xem danh sách các công việc đã nộp kèm trạng thái hiện tại từ nhà tuyển dụng.",,"Epic 4: Candidate & Application","Đặng Trường Thịnh","Medium",2,"Candidate & Application","To Do"
22,"Task","[Tuyền] Thiết kế Entity, Repository & DTO cho Interview, Notification","Tạo các entity JPA: Interview, Notification; cấu hình Spring Mail Starter và thiết kế DTO request/response.",,"Epic 5: Interview & Analytics","Phan Thị Ánh Tuyền","High",3,"Interview & Analytics","To Do"
23,"Story","[Tuyền] Xây dựng tính năng Lên lịch phỏng vấn & Phân loại hình thức","Là Nhà tuyển dụng, tôi muốn lên lịch phỏng vấn (ngày giờ, hình thức Online qua Google Meet/Zoom hoặc Offline tại văn phòng) và gán người phỏng vấn phụ trách.",,"Epic 5: Interview & Analytics","Phan Thị Ánh Tuyền","High",5,"Interview & Analytics","To Do"
24,"Story","[Tuyền] Tích hợp Spring Mail gửi Email thông báo tự động","Là Hệ thống, tự động gửi email thông báo khi: (1) Ứng viên nộp đơn thành công, (2) Nhà tuyển dụng gửi thư mời phỏng vấn, (3) Nhà tuyển dụng thông báo trúng tuyển/từ chối.",,"Epic 5: Interview & Analytics","Phan Thị Ánh Tuyền","Highest",5,"Interview & Analytics","To Do"
25,"Story","[Tuyền] Xây dựng Hệ thống Thông báo In-App (Chuông thông báo)","Là Người dùng (Ứng viên/HR), tôi muốn nhận thông báo realtime trong ứng dụng khi có cập nhật mới về hồ sơ hoặc lịch phỏng vấn và đánh dấu đã đọc.",,"Epic 5: Interview & Analytics","Phan Thị Ánh Tuyền","Medium",3,"Interview & Analytics","To Do"
26,"Story","[Tuyền] Xây dựng API Báo cáo & Thống kê tuyển dụng (Dashboard Metrics)","Là Nhà tuyển dụng / Admin, tôi muốn xem các biểu đồ thống kê: tổng số đơn nộp, tỷ lệ ứng viên qua từng vòng phỏng vấn, các vị trí tuyển dụng có lượng quan tâm cao nhất.",,"Epic 5: Interview & Analytics","Phan Thị Ánh Tuyền","Medium",3,"Interview & Analytics","To Do"
27,"Task","[Khánh] Code Review, Security Audit & Merge Pull Requests","Trưởng nhóm thực hiện rà soát code của 4 thành viên theo checklist (SQL Injection, Transaction, N+1 Query, Restful chuẩn) trước khi phê duyệt gộp nhánh vào dev và main.",,"Epic 1: Security & Admin","Lê Duy Khánh","High",3,"Auth & Admin","To Do"
