"Issue Type","Summary","Parent Summary","Description","Assignee","Priority","Story Points","Component"
"Sub-task","[FE] Giao diện Admin xem danh sách, tìm kiếm và Khóa/Mở ứng viên","[Khánh] Quản lý ứng viên (Candidate Management) dành cho Admin","Xây dựng giao diện trang Quản lý ứng viên dành cho Admin:
- Table danh sách ứng viên với phân trang (Pagination), tìm kiếm theo Họ tên/Email, bộ lọc Status (ACTIVE, BANNED).
- Modal xem chi tiết hồ sơ cá nhân của ứng viên.
- Nút thao tác Khóa (Ban) / Mở khóa (Active) tài khoản kèm hộp thoại xác nhận và thông báo Toast.
- Tích hợp gọi API GET /api/v1/admin/candidates và PATCH /api/v1/admin/users/{id}/status.","Lê Duy Khánh","High",1,"Admin Module"
"Sub-task","[BE] API Admin lấy danh sách ứng viên và cập nhật trạng thái User (Clean Architecture)","[Khánh] Quản lý ứng viên (Candidate Management) dành cho Admin","Xây dựng backend theo Clean/Hexagonal Architecture:
- Inbound Controller: AdminCandidateController, AdminUserController.
- Inbound Port & UseCase: GetCandidatesUseCase, ChangeUserStatusUseCase.
- Outbound Port & Adapter: CandidatePersistenceAdapter, UserPersistenceAdapter.
- Phân quyền RBAC @PreAuthorize(""hasRole('ADMIN')"").
- Viết Unit test & ArchUnit test kiểm tra tính toàn vẹn kiến trúc.","Lê Duy Khánh","High",2,"Admin Module"
"Sub-task","[FE] Giao diện Admin quản lý danh sách HR và công ty trực thuộc","[Khánh] Quản lý nhà tuyển dụng (HR Management) dành cho Admin","Xây dựng giao diện trang Quản lý nhà tuyển dụng dành cho Admin:
- Table danh sách HR: Avatar, Họ tên, Email, SĐT, Tên công ty trực thuộc, Trạng thái tài khoản.
- Bộ lọc theo Công ty và Trạng thái (ACTIVE/BANNED).
- Modal xem chi tiết thông tin HR và pháp lý công ty liên kết.
- Nút Khóa/Mở khóa tài khoản HR vi phạm quy định.
- Tích hợp gọi API GET /api/v1/admin/recruiters và PATCH /api/v1/admin/users/{id}/status.","Lê Duy Khánh","High",1,"Admin Module"
"Sub-task","[BE] API Admin lấy danh sách HR và khóa tài khoản vi phạm (Clean Architecture)","[Khánh] Quản lý nhà tuyển dụng (HR Management) dành cho Admin","Xây dựng backend theo Clean/Hexagonal Architecture:
- Inbound Controller: AdminRecruiterController.
- Inbound Port & UseCase: GetRecruitersUseCase, GetRecruiterDetailUseCase.
- Outbound Adapter: Nối dữ liệu giữa bảng recruiters, users và companies (JPQL / Eager Join).
- Xử lý mã lỗi 404 UserNotFound, 403 Forbidden khi không phải ADMIN.
- Viết Unit test cho UseCase và MockMvc test cho Controller.","Lê Duy Khánh","High",1,"Admin Module"
"Sub-task","[FE] Giao diện Admin duyệt doanh nghiệp: Tab chờ duyệt, chi tiết và lý do từ chối","[Khánh] Quản lý & Phê duyệt doanh nghiệp do HR yêu cầu (Company Approval)","Xây dựng giao diện trang Phê duyệt doanh nghiệp dành cho Admin:
- Tabs chuyển đổi trạng thái: PENDING (Chờ duyệt), APPROVED (Đã duyệt), REJECTED (Đã từ chối).
- Card/Table hiển thị thông tin pháp lý công ty: Tên công ty, Mã số thuế, Website, Logo, Địa chỉ, HR nộp đơn.
- Modal xem xét hồ sơ và Popup nhập lý do từ chối (Rejection Reason).
- Tích hợp gọi API GET /api/v1/admin/companies và PATCH /api/v1/admin/companies/{id}/status.","Lê Duy Khánh","Highest",1,"Admin Module"
"Sub-task","[BE] API Admin phê duyệt/từ chối công ty và liên kết quyền HR đại diện (Clean Architecture)","[Khánh] Quản lý & Phê duyệt doanh nghiệp do HR yêu cầu (Company Approval)","Xây dựng backend theo Clean/Hexagonal Architecture:
- Inbound Controller: AdminCompanyController.
- Inbound Port & UseCase: GetCompaniesUseCase, ApproveCompanyUseCase (xử lý duyệt/từ chối).
- Transactional Logic: Khi APPROVED, cập nhật status công ty thành APPROVED và tự động gán company_id vào Recruiter đã tạo.
- Outbound Port & Adapter: CompanyPersistenceAdapter, RecruiterPersistenceAdapter.
- Viết Unit test đảm bảo ACID transaction và kiểm tra ArchUnit.","Lê Duy Khánh","Highest",2,"Admin Module"
"Sub-task","[FE] Màn hình Quên mật khẩu: Form nhập Email, OTP 6 số và Form Đặt lại mật khẩu","[Tuyền] Xây dựng tính năng Quên mật khẩu qua Email (Forget Password)","Xây dựng giao diện luồng Quên & Đặt lại mật khẩu:
- Bước 1: Form nhập Email để yêu cầu nhận OTP, có validate định dạng email và countdown đếm ngược gửi lại sau 60s.
- Bước 2: Form/Modal nhập mã OTP 6 ký tự số kèm thời hạn hiệu lực 15 phút.
- Bước 3: Form nhập mật khẩu mới và xác nhận mật khẩu (validate độ dài >= 6, độ mạnh mật khẩu).
- Xử lý thông báo lỗi (hết hạn OTP, sai OTP) và điều hướng về trang Đăng nhập sau khi thành công.","Phan Thị Ánh Tuyền","Highest",1,"Auth & Mail"
"Sub-task","[BE] API Quên mật khẩu: Sinh mã OTP, gửi email và mã hóa mật khẩu mới BCrypt","[Tuyền] Xây dựng tính năng Quên mật khẩu qua Email (Forget Password)","Xây dựng backend xử lý Quên mật khẩu theo Clean Architecture:
- Endpoint POST /api/v1/auth/forgot-password: Kiểm tra email tồn tại, sinh OTP ngẫu nhiên 6 chữ số kèm thời hạn hết hạn 15 phút, gọi MailService gửi OTP.
- Endpoint POST /api/v1/auth/reset-password: Kiểm tra OTP hợp lệ và chưa hết hạn, mã hóa mật khẩu mới bằng PasswordEncoder (BCrypt) và cập nhật vào bảng users.
- Xử lý các mã lỗi: 400 Bad Request (OTP sai hoặc hết hạn), 404 Not Found (Email không tồn tại).
- Viết Unit test nghiệp vụ sinh OTP và đổi mật khẩu.","Phan Thị Ánh Tuyền","Highest",2,"Auth & Mail"
"Sub-task","[FE] Thiết kế Responsive HTML Template Email thông báo OTP/Reset Password","[Tuyền] Thiết kế HTML Template Email thông báo đặt lại mật khẩu","Thiết kế mẫu Email HTML chuẩn thương hiệu TalentBridge:
- Bố cục email chuẩn Responsive hiển thị tối ưu trên Gmail, Outlook, Apple Mail (Web và Mobile).
- Bao gồm Logo TalentBridge, Lời chào cá nhân hóa, Khung hiển thị mã OTP 6 số cỡ lớn nổi bật, Nút CTA đặt lại mật khẩu, Cảnh báo bảo mật không chia sẻ mã.
- Tối ưu CSS inline để tương thích mọi trình duyệt email client.","Phan Thị Ánh Tuyền","Medium",1,"Auth & Mail"
"Sub-task","[BE] Tích hợp Spring Mail & Thymeleaf Engine render biến động email bất đồng bộ","[Tuyền] Thiết kế HTML Template Email thông báo đặt lại mật khẩu","Xây dựng dịch vụ gửi email bằng Spring Boot:
- Cấu hình Spring Boot Starter Mail (SMTP Gmail/Mailtrap) trong application.properties.
- Tích hợp Thymeleaf Template Engine để đổ dữ liệu động (Tên người dùng, Mã OTP, Hạn sử dụng) vào file HTML template.
- Sử dụng JavaMailSender và MimeMessageHelper (UTF-8, multipart).
- Cấu hình @Async để gửi email bất đồng bộ không làm block request của người dùng.","Phan Thị Ánh Tuyền","Medium",1,"Auth & Mail"
"Sub-task","[FE] Màn hình Đăng ký & Đăng nhập Ứng viên: Form validation và lưu JWT Token","[Thịnh] Đăng ký & Đăng nhập tài khoản Ứng viên (Candidate Auth)","Xây dựng giao diện Đăng ký & Đăng nhập cho Ứng viên:
- Form Đăng ký: Nhập Họ tên, Email, Số điện thoại, Mật khẩu, Xác nhận mật khẩu; validate dữ liệu client-side.
- Form Đăng nhập: Nhập Email và Mật khẩu.
- Xử lý lưu trữ JWT Access Token và Refresh Token an toàn (LocalStorage / Secure Cookie).
- Bắt lỗi hiển thị: Trùng email (409), Sai thông tin đăng nhập (401).
- Tự động điều hướng đến trang tìm việc sau khi đăng nhập thành công.","Đặng Trường Thịnh","High",1,"Candidate Module"
